text,intent,category,priority
Transfer the monthly rent amount to Isabella,Task,Finance,High
Gift ideas for Olivia: book about compiler design or a warm scarf this Friday at 3pm,Note,Shopping,Low
Project details: Vanguard aims to rebuild the database service,Note,Work,Low
Remind me to pay the credit card bill on tonight,Reminder,Finance,High
Check the current price of AMZN stock,Todo,Finance,Low
Brainstorm thesis statements for Art History,Todo,Study,Medium
Restock on shampoo and laundry detergent,Task,Shopping,Low
Purchase a nice birthday gift for Daniel,Task,Shopping,Medium
Remember to check out the grocery deals on tomorrow,Reminder,Shopping,Low
Don't forget to send the invoice to Soylent Corp next week,Reminder,Work,High
Sizes list: Jessica wears shoe size 9 and shirt size M,Note,Shopping,Low
Set a reminder for the auto-debit of Zoom on tonight,Reminder,Finance,Medium
Idea for system optimization: use serverless architecture for user profile,Note,Work,Low
Notes on Project Titan timeline and milestones,Note,Work,Low
Remind me to return the History library book by July 5th,Reminder,Study,Medium
"Workout stats: ran 2 kilometers, burnt 400 calories",Note,Health,Low
Notes on Project Falcon timeline and milestones,Note,Work,Low
Find reference papers on industrial revolution next Monday at noon,Todo,Study,Medium
Research competitor products in the engineering space,Todo,Work,Low
Subscription cost tracker: Netflix costs $50 per month,Note,Finance,Low
Watch the tutorial video on data structures,Todo,Study,Low
Summary of discussion with Daniel about compiler design,Note,Work,Low
Set a reminder for the auto-debit of Slack on at 9 PM,Reminder,Finance,Medium
Summary of discussion with Isabella about quantum physics,Note,Work,Low
Remind me to take my Vitamins at 8:00 PM,Reminder,Health,High
Set a reminder to track steps in the evening this Friday at 3pm,Reminder,Health,Low
Deploy the new version of search engine to production,Task,Work,High
Draft the outline for Computer Science research paper,Task,Study,Medium
Book recommendation list: read books on photosynthesis,Note,Personal,Low
Drink at least 50 glasses of water today,Todo,Health,Medium
Plan the weekend road trip itinerary to San Francisco,Task,Personal,Medium
ASAP: Weight tracking entry: 75 kg this morning,Note,Health,High
Medical insurance policy number: 513,Note,Health,Medium
Don't forget to follow up with Umbrella Corp regarding the proposal,Reminder,Work,High
Remind me to ask Jessica for Economics study guides,Reminder,Study,Low
Transfer the monthly rent amount to Michael,Task,Finance,High
Set a reminder to call my parents on Sunday afternoon,Reminder,Personal,Medium
Medical insurance policy number: 5312,Note,Health,Medium
Gift ideas for Emma: book about linear algebra or a warm scarf,Note,Shopping,Low
Medical insurance policy number: 2025 this Friday at 3pm,Note,Health,Medium
Find reference papers on macroeconomics,Todo,Study,Medium
Schedule a quick alignment call with Alex about macroeconomics,Todo,Work,Medium
Important definitions for Art History exam revision,Note,Study,Medium
Remind me to buy a birthday card for Liam on July 5th,Reminder,Shopping,Medium
Remember to pack suitcases before the trip on at 9 PM tonight at 8 PM,Reminder,Personal,High
Go over the formulas for Physics,Todo,Study,Medium
Don't forget to send the invoice to Wayne Enterprises next week,Reminder,Work,High
Sizes list: Alex wears shoe size 9 and shirt size M,Note,Shopping,Low
Set a reminder to review Economics formulas tomorrow,Reminder,Study,Medium
Key takeaways from the tech workshop on cryptography,Note,Work,Low
Set a reminder to order trash bags before we run out,Reminder,Shopping,Medium
Concept definition: compiler design is defined as light absorption in plants,Note,Study,Low
grocery inventory list: need to buy spinach next time,Note,Shopping,Low
Research competitor products in the legal space,Todo,Work,Low
Submit the Biology lab report,Task,Study,High
Model name for tablet I want to buy: Version 20,Note,Shopping,Low
Summarize the lecture notes on industrial revolution for Physics,Todo,Study,Medium
Formula list for Biology includes genetics equations,Note,Study,Low
Brainstorm ideas for the new marketing campaign for Genesis,Todo,Work,Medium
Remember to check out the grocery deals on Friday,Reminder,Shopping,Low
Remind me to check the database logs at 9:00 AM,Reminder,Work,Medium
Remind me to take my Lisinopril at 8:00 PM,Reminder,Health,High
Project details: Titan aims to rebuild the dashboard service,Note,Work,Low
Key takeaways about thermodynamics from the textbook,Note,Study,Low
ASAP: Remind me to check stock prices for TSLA at 10:30 AM,Reminder,Finance,High
Important definitions for History exam revision,Note,Study,Medium
Pick up cheese and some coffee on my way home tomorrow morning,Task,Shopping,Low
Meeting minutes from engineering sync: highly important for final exam this Friday at 3pm,Note,Work,Low
Model name for phone I want to buy: Version 10 this Friday at 3pm,Note,Shopping,Low
Useful study resource for History: http://arxiv.org/abs/1234,Note,Study,Low
Fix the critical bug in the payment pipeline,Task,Work,High
Set a reminder to practice Biology problems,Reminder,Study,Medium
Set a reminder for the design sync with Jessica on June 30th,Reminder,Work,Medium
Expense breakdown: spent $500 on groceries and $15 on utilities,Note,Finance,Medium
Remind me to pay the credit card bill on next week,Reminder,Finance,High
My thoughts on the reading assignment for History,Note,Study,Low
Client preferences for Wayne Enterprises: highly values speed and communication,Note,Work,Low
Browse online deals for external hard drive accessories,Todo,Shopping,Low
Project details: Vanguard aims to rebuild the user profile service,Note,Work,Low
Revise the syllabus for Math,Task,Study,Low
Research organic synthesis for the upcoming Biology project by next week,Todo,Study,Medium
Call Olivia to catch up on weekend plans,Task,Personal,Medium
Notes from today's lecture on data structures: inspired by a recent podcast,Note,Study,Low
Listen to educational podcast about organic synthesis,Todo,Study,Low
Schedule a physical therapy session for back pain,Task,Health,High
Refill the Eye drops supply at the local drug store,Task,Health,High
Notes on Project Nebula timeline and milestones,Note,Work,Low
Gift ideas for Emily: book about photosynthesis or a warm scarf,Note,Shopping,Low
Send a thank you note to Isabella for the gift,Task,Personal,Low
Research competitor products in the design space,Todo,Work,Low
Set a reminder to purchase anniversary flowers on June 30th,Reminder,Shopping,High
Submit expense report for Phoenix reimbursement,Task,Finance,High
Concept definition: cryptography is defined as supply and demand curves,Note,Study,Low
Subscription cost tracker: Zoom costs $10 per month,Note,Finance,Low
Compare features of external hard drive brands,Todo,Shopping,Low
Model name for headphones I want to buy: Version 2,Note,Shopping,Low
Browse online deals for speaker accessories,Todo,Shopping,Low
Set a reminder for the design sync with Sophia on Friday,Reminder,Work,Medium
Solve the practice problems in chapter 5 of Chemistry tomorrow morning,Task,Study,Medium
Notes from today's lecture on modernism: inspired by a recent podcast,Note,Study,Low
Plan the weekend road trip itinerary to Chicago,Task,Personal,Medium
Pay the electricity and water bills before tonight,Task,Finance,High
Remember to submit the tax documents by June 30th,Reminder,Finance,High
Restock on toilet paper and laundry detergent,Task,Shopping,Low
Research competitor products in the sales space by next week,Todo,Work,Low
Update the project wiki documentation for Nebula,Todo,Work,Low
File my quarterly tax returns before the deadline,Task,Finance,High
Remind me to ask Daniel for History study guides,Reminder,Study,Low
Set a reminder for the auto-debit of Spotify on Friday,Reminder,Finance,Medium
Set a reminder to write the daily journal entry at 8:00 PM,Reminder,Personal,Low
Remind me to return the Chemistry library book by tonight,Reminder,Study,Medium
Set a reminder for the auto-debit of Slack on this weekend,Reminder,Finance,Medium
Notes from today's lecture on modernism: highly important for final exam,Note,Study,Low
Review the pull request for the user profile module,Task,Work,Medium
My thoughts on the reading assignment for Calculus,Note,Study,Low
Send a thank you note to Daniel for the gift,Task,Personal,Low
Meeting minutes from HR sync: save for reference in future projects,Note,Work,Low
Don't forget to send the invoice to Stark Industries next week,Reminder,Work,High
Find reference papers on cryptography,Todo,Study,Medium
My thoughts on the reading assignment for Art History,Note,Study,Low
Refill the Amoxicillin supply at the local drug store,Task,Health,High
Calculate travel expenses for the trip to Paris,Task,Finance,Medium
ASAP: Research prices for a keyboard online next Monday at noon,Todo,Shopping,High
Update the client onboarding document for Initech,Task,Work,Medium
Draft the outline for Chemistry research paper,Task,Study,Medium
Order a new monitor from online store,Task,Shopping,Medium
Summary of History discussion board posts,Note,Study,Low
Draft a budget plan for the upcoming trip,Todo,Finance,Medium
Remind me to check stock prices for TSLA at noon,Reminder,Finance,Low
Remind me to buy a birthday card for Emma on tomorrow,Reminder,Shopping,Medium
Brainstorm thesis statements for Computer Science this Friday at 3pm,Todo,Study,Medium
Remind me to ask Sophia for Chemistry study guides,Reminder,Study,Low
Don't forget the tutorial session on neural networks at 10:30 AM this Friday at 3pm,Reminder,Study,Medium
Update the client onboarding document for Umbrella Corp,Task,Work,Medium
Summary of Biology discussion board posts,Note,Study,Low
Summarize the lecture notes on modernism for Literature,Todo,Study,Medium
Remember to prepare for the Physics exam on next week,Reminder,Study,High
Remind me to check the database logs at midnight,Reminder,Work,Medium
Compare features of headphones brands tonight at 8 PM,Todo,Shopping,Low
Listen to educational podcast about data structures,Todo,Study,Low
Deploy the new version of billing to production (low priority though),Task,Work,Low
Transfer the monthly rent amount to John by next week,Task,Finance,High
Important definitions for Physics exam revision,Note,Study,Medium
Financial goals for April: limit dining out expenses to $150 tonight at 8 PM,Note,Finance,Medium
Sizes list: Emma wears shoe size 9 and shirt size M,Note,Shopping,Low
Pick up my prescription medicine Ibuprofen from pharmacy,Task,Health,High
Remember to call Sophia about the client contract on Friday,Reminder,Work,Medium
Submit expense report for Apollo reimbursement,Task,Finance,High
My thoughts on the reading assignment for Physics,Note,Study,Low
Transfer the monthly rent amount to Liam tonight at 8 PM,Task,Finance,High
Set a reminder to order refills of Allergy pills by June 30th,Reminder,Health,High
Buy orange juice and chicken from the local supermarket next Monday at noon,Task,Shopping,Low
